Seller,Relationship,Customer1,Relationship,Customer2,SellerJurisdiction,SellerBUNature,CustomerJurisdiction1,CustomerBUNature1,CustomerJurisdiction2,CustomerBUNature2
8C2C06BA41C176A39F943F3CE5A581DF,Sellto,3DAA9F6484FCB7510CD9465A805A45FD,,,ZO0304,"Warehouse \/ Depot,Office \/ Sale Office,Retail Business,Factory \/ Manufacturing,Works Contract",ZA0101,"Service Provision,Recipient of Goods or Services,Input Service Distributor (ISD),Works Contract,Retail Business,Wholesale Business,Warehouse \/ Depot",,
3DD593FF986A16E6589B4D7207F30762,Sellto,397195073E219D4D1204102F9CF2F6B4,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,"Retail Business,Service Provision",,
3DD593FF986A16E6589B4D7207F30762,Sellto,E20D36024FA0E8B7736A28A26BF6F9AA,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0104,Input Service Distributor (ISD),,
723ABF7D3661E3DCB6910DFF3D9E6CDE,Sellto,D2E1832B1DD12712D58ACD6C0D47C205,,,VN0205,"Service Provision,Recipient of Goods or Services,Supplier of Services",ZA0401,Others,,
3DD593FF986A16E6589B4D7207F30762,Sellto,2D052902A9ABFC32B4EA037FC2688349,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0105,Works Contract,,
3DD593FF986A16E6589B4D7207F30762,Sellto,D65AAB19B83AD6BF86BE7EA1198C769B,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,"Office \/ Sale Office,Others",,
723ABF7D3661E3DCB6910DFF3D9E6CDE,Sellto,A11EBA2838B9D509231B8A146DC0C8E4,,,VN0205,"Service Provision,Recipient of Goods or Services,Supplier of Services",ZA0104,"Service Provision,Recipient of Goods or Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,B23E185108818299D46FC3206FF25C03,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0102,Factory \/ Manufacturing,,
3DD593FF986A16E6589B4D7207F30762,Sellto,264857F3ECEB77A5D947109A09C2168D,SellTo,CD8C07BF235BCE5EABACE44A221913AA,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0105,Retail Business,ZB0304,Factory \/ Manufacturing
3DD593FF986A16E6589B4D7207F30762,Sellto,E910E3CA17884F2356BB655E3FCE7810,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0201,"Retail Business,Others,Office \/ Sale Office",,
